Bufo_gargarizans
Canis_lupus
Cervus_elaphus
Cervus_eldi
Eulemur_fulvus
Hyla_annectans_chuanxiensis
Hyla_annectans_jingdongensis
Melomys_littoralis
Melomys_platyops
Melomys_rubex
Milaria_calandra
Miniopterus_schreibersii
Mungos_mungo_taenianotus
Myotis_lucifugus
Neomys_fodiens
Pan_troglodytes
