Abeomelomys_sevia
Abrornis_chloronotus
Abrornis_humei
Abrornis_maculipennis
Acanthis_flammea
Acanthiza_pusilla
Acanthorhynchus_tenuirostris
Accipiter_gentilis
Acinonyx_jubatus
Acomys_cahirinus
Acomys_dimidiatus
Aconaemys_fuscus
Aconaemys_porteri
Aconaemys_sagei
Acontias_meleagris
Acrocephalus_arundinaceus
Acrocephalus_baeticatus
Acrocephalus_melanopogon
Acrocephalus_paludicola
Acrocephalus_palustris
Acrocephalus_schoenobaenus
Acrocephalus_scirpaceus
Addax_nasomaculatus
Adelotus_brevis
Aegithalos_caudatus
Aepyceros_melampus
Aepyprymnus_rufescens
Aethomys_chrysophilus
Aethomys_hindei
Aethomys_ineptus
Aethomys_kaiseri
Aethomys_nyikae
Agapornis_roseicollis
Agelaius_phoeniceus
Agelaius_xanthomus
Ailuropoda_melanoleuca
Akodon_azarae
Akodon_dolores
Akodon_molinae
Alauda_arvensis
Alcelaphus_buselaphus
Alces_alces
Alectoris_graeca
Alligator_mississippiensis
Alouatta_caraya
Alytes_obstetricans
Amandava_amandava
Amblycercus_holosericeus
Ameiva_ameiva
Ameivula_ocellifera
Ammodramus_caudacutus
Ammodramus_maritimus
Ammodramus_savannarum
Amolops_lifanensis
Amolops_mantzorum
Amolops_wuyiensis
Amphisbaena_alba
Amytornis_striatus
Anisomys_imitator
Anolis_aliniger
Anolis_angusticeps
Anolis_bahorucoensis
Anolis_baleatus
Anolis_barahonae
Anolis_brevirostris
Anolis_carolinensis
Anolis_chlorocyanus
Anolis_christophei
Anolis_coelestinus
Anolis_cooki
Anolis_cristatellus
Anolis_cuvieri
Anolis_equestris
Anolis_etheridgei
Anolis_evermanni
Anolis_gundlachi
Anolis_insolitus
Anolis_krugi
Anolis_longitibialis
Anolis_marcanoi
Anolis_occultus
Anolis_olssoni
Anolis_poncensis
Anolis_porcatus
Anolis_pulchellus
Anolis_sagrei
Anolis_semilineatus
Anolis_smaragdinus
Anolis_stratulus
Anoura_cultrata
Antechinus_stuartii
Antechinus_swainsonii
Anthus_campestris
Anthus_pratensis
Anthus_trivialis
Antidorcas_marsupialis
Antilope_cervicapra
Antrozous_pallidus
Aplodontia_rufa
Apodemus_agrarius
Apodemus_argenteus
Apodemus_flavicollis
Apodemus_peninsulae
Apodemus_semotus
Apodemus_speciosus
Apodemus_sylvaticus
Apomys_abrae
Apomys_camiguinensis
Apomys_datae
Apomys_insignis
Apomys_microdon
